order_timestamp,day,month,year,quarter,weekday,date_id
2023-05-06T00:00:00.000Z,6,5,2023,2,7,350
2023-05-07T00:00:00.000Z,7,5,2023,2,1,351
2023-05-09T00:00:00.000Z,9,5,2023,2,3,352
2023-05-10T00:00:00.000Z,10,5,2023,2,4,353
2023-05-11T00:00:00.000Z,11,5,2023,2,5,354
2023-05-13T00:00:00.000Z,13,5,2023,2,7,355
2023-05-14T00:00:00.000Z,14,5,2023,2,1,356
2023-05-15T00:00:00.000Z,15,5,2023,2,2,357
2023-05-17T00:00:00.000Z,17,5,2023,2,4,358
2023-05-18T00:00:00.000Z,18,5,2023,2,5,359
2023-05-20T00:00:00.000Z,20,5,2023,2,7,360
2023-05-21T00:00:00.000Z,21,5,2023,2,1,361
2023-05-22T00:00:00.000Z,22,5,2023,2,2,362
2023-05-23T00:00:00.000Z,23,5,2023,2,3,363
2023-05-24T00:00:00.000Z,24,5,2023,2,4,364
2023-05-25T00:00:00.000Z,25,5,2023,2,5,365
2023-05-27T00:00:00.000Z,27,5,2023,2,7,366
2023-05-28T00:00:00.000Z,28,5,2023,2,1,367
2023-05-30T00:00:00.000Z,30,5,2023,2,3,368
2023-05-31T00:00:00.000Z,31,5,2023,2,4,369
2023-06-01T00:00:00.000Z,1,6,2023,2,5,370
2023-06-03T00:00:00.000Z,3,6,2023,2,7,371
2023-06-04T00:00:00.000Z,4,6,2023,2,1,372
2023-06-05T00:00:00.000Z,5,6,2023,2,2,373
2023-06-06T00:00:00.000Z,6,6,2023,2,3,374
2023-06-07T00:00:00.000Z,7,6,2023,2,4,375
2023-06-08T00:00:00.000Z,8,6,2023,2,5,376
2023-06-09T00:00:00.000Z,9,6,2023,2,6,377
2023-06-10T00:00:00.000Z,10,6,2023,2,7,378
2023-06-11T00:00:00.000Z,11,6,2023,2,1,379
2023-06-12T00:00:00.000Z,12,6,2023,2,2,380
2023-06-13T00:00:00.000Z,13,6,2023,2,3,381
2023-06-14T00:00:00.000Z,14,6,2023,2,4,382
2023-06-15T00:00:00.000Z,15,6,2023,2,5,383
2023-06-18T00:00:00.000Z,18,6,2023,2,1,384
2023-06-19T00:00:00.000Z,19,6,2023,2,2,385
2023-06-20T00:00:00.000Z,20,6,2023,2,3,386
2023-06-23T00:00:00.000Z,23,6,2023,2,6,387
2023-06-24T00:00:00.000Z,24,6,2023,2,7,388
2023-06-25T00:00:00.000Z,25,6,2023,2,1,389
2023-06-26T00:00:00.000Z,26,6,2023,2,2,390
2023-06-27T00:00:00.000Z,27,6,2023,2,3,391
2023-06-28T00:00:00.000Z,28,6,2023,2,4,392
2023-07-01T00:00:00.000Z,1,7,2023,3,7,393
